Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 2 plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151616.1?report=genbank&log$=nucltop&blast_rank=11&RID=UPCRJ7UP016"",""CP151616.1"")"
"Yersinia pestis strain 19104 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177783.1?report=genbank&log$=nucltop&blast_rank=12&RID=UPCRJ7UP016"",""CP177783.1"")"
"Yersinia pestis strain 80075 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,96008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177473.1?report=genbank&log$=nucltop&blast_rank=13&RID=UPCRJ7UP016"",""CP177473.1"")"
"Yersinia pestis strain CMCC92010 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178011.1?report=genbank&log$=nucltop&blast_rank=14&RID=UPCRJ7UP016"",""CP178011.1"")"
"Yersinia pestis strain 60007 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177933.1?report=genbank&log$=nucltop&blast_rank=15&RID=UPCRJ7UP016"",""CP177933.1"")"
"Yersinia pestis strain F020032 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178095.1?report=genbank&log$=nucltop&blast_rank=16&RID=UPCRJ7UP016"",""CP178095.1"")"
"Yersinia pestis strain 6/69_pPCP1- plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166964.1?report=genbank&log$=nucltop&blast_rank=17&RID=UPCRJ7UP016"",""CP166964.1"")"
"Yersinia pestis strain 195/P plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019709.1?report=genbank&log$=nucltop&blast_rank=18&RID=UPCRJ7UP016"",""CP019709.1"")"
"Yersinia pestis strain 197_15 plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151624.1?report=genbank&log$=nucltop&blast_rank=19&RID=UPCRJ7UP016"",""CP151624.1"")"
"Yersinia pestis strain KIM6+ plasmid pMT, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,95328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP162312.1?report=genbank&log$=nucltop&blast_rank=20&RID=UPCRJ7UP016"",""CP162312.1"")"
"Yersinia pestis strain A1694 plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100919,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151600.1?report=genbank&log$=nucltop&blast_rank=21&RID=UPCRJ7UP016"",""CP151600.1"")"
"Yersinia pestis strain 660094 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177516.1?report=genbank&log$=nucltop&blast_rank=22&RID=UPCRJ7UP016"",""CP177516.1"")"
"Yersinia pestis strain Cadman plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP016275.1?report=genbank&log$=nucltop&blast_rank=23&RID=UPCRJ7UP016"",""CP016275.1"")"
"Yersinia pestis strain 49007 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,103631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177453.1?report=genbank&log$=nucltop&blast_rank=24&RID=UPCRJ7UP016"",""CP177453.1"")"
"Yersinia pestis strain O010025 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177693.1?report=genbank&log$=nucltop&blast_rank=25&RID=UPCRJ7UP016"",""CP177693.1"")"
"Yersinia pestis strain J340003 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177630.1?report=genbank&log$=nucltop&blast_rank=26&RID=UPCRJ7UP016"",""CP177630.1"")"
"Yersinia pestis Angola plasmid pMT, complete sequence",Yersinia pestis Angola,NA,349746,688,688,100%,0.0,98.96,95352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009934.1?report=genbank&log$=nucltop&blast_rank=27&RID=UPCRJ7UP016"",""CP009934.1"")"
"Yersinia pestis strain 81005 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177737.1?report=genbank&log$=nucltop&blast_rank=28&RID=UPCRJ7UP016"",""CP177737.1"")"
"Yersinia pestis strain 9 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,107426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178034.1?report=genbank&log$=nucltop&blast_rank=29&RID=UPCRJ7UP016"",""CP178034.1"")"
"Yersinia pestis strain 19042 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178048.1?report=genbank&log$=nucltop&blast_rank=30&RID=UPCRJ7UP016"",""CP178048.1"")"
"Yersinia pestis strain 19098 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100647,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178044.1?report=genbank&log$=nucltop&blast_rank=31&RID=UPCRJ7UP016"",""CP178044.1"")"
"Yersinia pestis strain 2330 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178038.1?report=genbank&log$=nucltop&blast_rank=32&RID=UPCRJ7UP016"",""CP178038.1"")"
"Yersinia pestis strain SCPM-O-B-6291 (C-25) plasmid pMT, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045164.1?report=genbank&log$=nucltop&blast_rank=33&RID=UPCRJ7UP016"",""CP045164.1"")"
"Yersinia pestis strain 02023 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177545.1?report=genbank&log$=nucltop&blast_rank=34&RID=UPCRJ7UP016"",""CP177545.1"")"
"Yersinia pestis 2944 plasmid pMT, complete sequence",Yersinia pestis 2944,NA,1345702,688,688,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006790.1?report=genbank&log$=nucltop&blast_rank=35&RID=UPCRJ7UP016"",""CP006790.1"")"
Yersinia pestis strain FDAARGOS_603 plasmid unnamed4,Yersinia pestis,NA,632,688,688,100%,0.0,98.96,113378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033693.1?report=genbank&log$=nucltop&blast_rank=36&RID=UPCRJ7UP016"",""CP033693.1"")"
"Yersinia pestis EV76-CN plasmid unnamed, complete sequence",Yersinia pestis EV76-CN,NA,665028,688,688,100%,0.0,98.96,120847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096667.1?report=genbank&log$=nucltop&blast_rank=37&RID=UPCRJ7UP016"",""CP096667.1"")"
"Yersinia pestis strain 13001 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,104458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177402.1?report=genbank&log$=nucltop&blast_rank=38&RID=UPCRJ7UP016"",""CP177402.1"")"
"Yersinia pestis strain 08023 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177772.1?report=genbank&log$=nucltop&blast_rank=39&RID=UPCRJ7UP016"",""CP177772.1"")"
"Yersinia pestis strain CMCC640047 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178026.1?report=genbank&log$=nucltop&blast_rank=40&RID=UPCRJ7UP016"",""CP178026.1"")"
"Yersinia pestis strain 15020 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177484.1?report=genbank&log$=nucltop&blast_rank=41&RID=UPCRJ7UP016"",""CP177484.1"")"
"Yersinia pestis strain N010084 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177567.1?report=genbank&log$=nucltop&blast_rank=42&RID=UPCRJ7UP016"",""CP177567.1"")"
"Yersinia pestis strain 90028 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177846.1?report=genbank&log$=nucltop&blast_rank=43&RID=UPCRJ7UP016"",""CP177846.1"")"
"Yersinia pestis strain 50012 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177977.1?report=genbank&log$=nucltop&blast_rank=44&RID=UPCRJ7UP016"",""CP177977.1"")"
"Yersinia pestis strain R plasmid unnamed1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,130936,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084337.1?report=genbank&log$=nucltop&blast_rank=45&RID=UPCRJ7UP016"",""CP084337.1"")"
"Yersinia pestis strain 70016 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177912.1?report=genbank&log$=nucltop&blast_rank=46&RID=UPCRJ7UP016"",""CP177912.1"")"
"Yersinia pestis strain 41006 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177418.1?report=genbank&log$=nucltop&blast_rank=47&RID=UPCRJ7UP016"",""CP177418.1"")"
"Yersinia pestis strain 45018 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,99021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177459.1?report=genbank&log$=nucltop&blast_rank=48&RID=UPCRJ7UP016"",""CP177459.1"")"
"Yersinia pestis strain 177 plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,98951,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151628.1?report=genbank&log$=nucltop&blast_rank=49&RID=UPCRJ7UP016"",""CP151628.1"")"
"Yersinia pestis strain 98008 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177864.1?report=genbank&log$=nucltop&blast_rank=50&RID=UPCRJ7UP016"",""CP177864.1"")"



		


